label	医院_事件原因分析描述
产品原因（包括说明书等）	患者于2020年11月30日因车祸伤术后转入ICU遵医嘱给予舒芬太尼组液以5mlh泵入注射泵持续工作泵两小时后突然自行停止持续报警未接交流电已及时更换注射泵并上报维修未给患者造成影响
产品原因（包括说明书等）	使用注射泵突然停机报警系统故障04无法继续使用工程师维修后判断为内部数据排线松动导致重新连接并紧固后开机设备运行正常
产品原因（包括说明书等）	产品质量缺陷
无法确定	null
无法确定	设备电源出故障
产品原因（包括说明书等）,无法确定	2022120注射泵在使用时出现暂停后发生报警
产品原因（包括说明书等）	产品微型喇叭损坏
产品原因（包括说明书等）	工程师分析设备推杆出现严重裂痕属于材质问题有比较明显的碎裂且同样故障现象有多起
无法确定	注射器卡槽夹子断裂初步分析长期液体滴漏至卡槽连接处易造成堵塞致夹子断裂
产品原因（包括说明书等）	通过咨询厂家工程师得知系统故障4表示注射泵通信故障
无法确定	配件老化
产品原因（包括说明书等）	现场检查推送杆夹持器断裂
无法确定	null
无法确定	联系厂家可能是内部电路板问题拆机发现电路板潮湿可能是医护人员操作时不小心将液体洒在机器内部导致故障
产品原因（包括说明书等）	注射泵停止工作报警器响经查看为机械卡塞造成注射泵停止工作
产品原因（包括说明书等）	注射泵送于相关部门后发现传感器故障致使液体不能顺利泵入体内影响治疗效果
无法确定	null
产品原因（包括说明书等）	检查发现注射器夹子卡顿分析是导致该通道不能运行的原因
产品原因（包括说明书等）	产品故障
产品原因（包括说明书等）	电源电池供电故障供电线断裂
产品原因（包括说明书等）,无法确定	无法确定怀疑可能为内部传感器故障无法复位导致报警
产品原因（包括说明书等）	可能为产品质量问题
产品原因（包括说明书等）	设备在运行两分钟后无故自行重启科室更换新注射泵不影响治疗
产品原因（包括说明书等）	推杆损坏
无法确定	null
无法确定	经检测判断为注射泵电路板故障导致注射泵无法开机
无法确定	推动杆老化损坏
产品原因（包括说明书等）	1产品质量不达标2推动杆塑料层选材不适当
产品原因（包括说明书等）	怀疑产品存在质量问题使用未超过1年配件传感器故障
操作原因,无法确定	机器受撞击或者摔到地上导致固定卡损坏
产品原因（包括说明书等）	机器电源板故障
无法确定	不详
产品原因（包括说明书等）	null
产品原因（包括说明书等）	1产品质量不达标2推动杆塑料层选材不适当
产品原因（包括说明书等）	工程师认为主板和电源板连接不合理
产品原因（包括说明书等）	该注射泵发生故障问题为线路老化导致的无法使用从而导致电源跳闸
产品原因（包括说明书等）,无法确定	初步判断为显示器故障
无法确定	经检测判断为注射泵内部连接线脱落导致注射泵无法推送药液
产品原因（包括说明书等）	注射泵卡扣无法完全闭合设备科人员拆卸后发现卡扣及内部齿轮均为注塑材质本身误差较大容易产生彼此之间的阻碍
产品原因（包括说明书等）	夹子故障
无法确定	null
无法确定	注射泵轨道上的卡扣可能松动导致注射器总弹出
产品原因（包括说明书等）	产品老化
产品原因（包括说明书等）	null
产品原因（包括说明书等）	可能由传感器故障导致
产品原因（包括说明书等）	2020年4月18日护理在使用威高注射泵产品发现注射泵夹子断裂无法固定注射器未对患者使用没产生伤害经设备科拆开发现夹子连接处窄小使夹子强度不够特别容易损坏
产品原因（包括说明书等）	null
产品原因（包括说明书等）	1产品质量不达标2推动杆塑料层选材不适当
产品原因（包括说明书等）	推进夹损坏
产品原因（包括说明书等）	尾夹断裂
无法确定	因经常使用致使螺纹磨损导致泵夹子滑丝
产品原因（包括说明书等）	null
产品原因（包括说明书等）	考虑是否接触不良
产品原因（包括说明书等）	夹子断裂
产品原因（包括说明书等）	立即报器械科维修组维修
无法确定	固定夹老化易损
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为产品自身原因
无法确定	经检测注射泵内部导联线脱落导致注射泵异常报警
产品原因（包括说明书等）	经器械科工程师检修发现电路板损坏无维修价值申请报废处理
产品原因（包括说明书等）	无法确定
产品原因（包括说明书等）	多考虑该产品存在质量缺陷
产品原因（包括说明书等）	机器问题
产品原因（包括说明书等）	设备故障不开机
产品原因（包括说明书等）	科室在正常使用过程中设备出现报警该设备科室人员操作规范故分析为设备自身原因
产品原因（包括说明书等）	报警灯故障或线路故障
无法确定	机械故障
产品原因（包括说明书等）	短杆外壳破裂
无法确定	null
无法确定	null
产品原因（包括说明书等）	机器故障
无法确定	经检测内部传感器故障导致流速过快
无法确定,产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	喇叭损坏
无法确定	注射泵夹具损坏无法固定在架子上
无法确定	注射泵长期使用按键损坏
无法确定	null
产品原因（包括说明书等）	注射泵传感器故障报错
无法确定	经检查发现是喇叭损坏
产品原因（包括说明书等）	电源故障
产品原因（包括说明书等）	重症室病人治疗中注射泵离合故障无法进行治疗耽误病人治疗
无法确定	null
产品原因（包括说明书等）	传感器故障
无法确定	null
产品原因（包括说明书等）	注射器把手塑料老化
产品原因（包括说明书等）	排线故障
产品原因（包括说明书等）	疑似排线或传感器故障
无法确定	康德莱注射器为防止针管根部断裂加粗了根部的厚度导致注射泵无法识别注射器规格因其他注射泵均能识别注射器规格所以注射泵设计存在相关问题
产品原因（包括说明书等）	产品质量原因喇叭损坏
产品原因（包括说明书等）	检查后发现固定支架的旋转固定部分与输液架的接触面积太小导致的
产品原因（包括说明书等）	推杆夹使用频率高又是高分子材料制品故常会出现断裂故障
产品原因（包括说明书等）	背光屏坏
无法确定	开机有电启动无液体怀疑泵电机故障或控制电路故障
产品原因（包括说明书等）	该注射泵需要进行校准
产品原因（包括说明书等）	更换确认键后故障消失
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	经医学装备部维修人员维修判断为推杆炸裂造成输液推注无法完成
无法确定	检查后发现电池失效
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	堵塞报警功能失灵
产品原因（包括说明书等）	可能是内部传感器失效无法感知注射泵推杆
产品原因（包括说明书等）	机器故障
无法确定	设备老化导致电源按键失灵
产品原因（包括说明书等）,无法确定	初步判断为自检不过
产品原因（包括说明书等）	设备在检修时发现不通电考虑电源部分问题
产品原因（包括说明书等）,操作原因	正常操作卡子易断裂
产品原因（包括说明书等）	注射器固定夹断裂
产品原因（包括说明书等）	仪器故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	丝杆不明原因损坏
无法确定	电池充电无效需更换电池
无法确定	坑是产品内部线路原因返厂进行检查
产品原因（包括说明书等）	产品质量问题
无法确定	2020年12月13日1244时患者血糖明显增高予加用普通胰岛素微量泵入降糖治疗运行20分钟后测患者血糖不降反升查看注射器内药物未见明显减少予更换微量泵后运行正常微量泵运行故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	夹子断裂
无法确定	可能液体粘稠度或者传动齿轮老化导致
无法确定	设备科工程师判断需要返厂更换拉杆
产品原因（包括说明书等）	威高的注射泵偏重护士提拿不方便注射器固定夹的部分结构与前壳一体铸造且位置突出容易被碰撞撞断了就需要更换整个前壳换前壳也很麻烦原厂工程师更换前壳至少两个小时
无法确定,产品原因（包括说明书等）	拉杆推杆固定夹断了
产品原因（包括说明书等）	null
产品原因（包括说明书等）	根据报警信息咨询厂家工程师判断设备蓄电池达到使用寿命电池故障造成设备停机
产品原因（包括说明书等）	按键故障怀疑元件质量问题
产品原因（包括说明书等）	原因不明无法确定
无法确定	null
产品原因（包括说明书等）	可能是仪器内部电位器存在问题
产品原因（包括说明书等）	压力传感器故障
产品原因（包括说明书等）	怀疑微泵内部零件损坏
产品原因（包括说明书等）	疑似产品设计缺陷
产品原因（包括说明书等）	按键故障
产品原因（包括说明书等）	未接通交流电或仪器电压板故障
产品原因（包括说明书等）	蜂鸣器故障报警蜂鸣器不响在威高注射泵中出现不止一次虽未造成严重伤害但存在较大安全隐患
产品原因（包括说明书等）	经检查是注射泵电源板故障导致开不了机
操作原因,产品原因（包括说明书等）	null
产品原因（包括说明书等）	助推器固定夹破裂损坏
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	经检查发现是针筒推杆模块连接排线故障
操作原因	设置错误
无法确定	null
产品原因（包括说明书等）	工程师维修判定该设备注射器夹子因使用频率高疲劳性断裂导致故障发生更换夹子后设备运行正常
产品原因（包括说明书等）	注射泵卡扣损坏考虑为个别产品内部配件质量存在问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵在泵注过程中频繁报警注射泵故障
无法确定	夹子根部断裂
产品原因（包括说明书等）	经检测为压力传感器故障
产品原因（包括说明书等）	推注杆不动导致
操作原因	机器被摔造成推杆断内外壳破裂
产品原因（包括说明书等）	静推泵报警失灵
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	可能由于注射泵使用时间较长导致拉杆电位器故障
无法确定	主机故障
产品原因（包括说明书等）,无法确定	打开仪器传感器接头松动
无法确定,患者自身原因	受到外力致使设备内部组件损坏
产品原因（包括说明书等）	1仪器使用频率高固定的拉杆支架损耗磨损2仪器使用时限长仪器部件部分老化3护士操作时动作粗暴抽拉支架拉杆时用力过猛
产品原因（包括说明书等）	微量泵B通道无法工作
无法确定	电源板板基虚焊造成的接触不良
产品原因（包括说明书等）	注射泵显示阻塞报警重启亦无效
无法确定	null
产品原因（包括说明书等）,操作原因	产品设计并不符合现在的输液支架事情发生与输液泵并无直接关系是应为输液支架经常被输液泵固定夹固定导致输液支架变形所以固定不牢固导致的
无法确定	null
无法确定	null
产品原因（包括说明书等）	设备故障导致
无法确定	机器故障
产品原因（包括说明书等）	注射泵故障
无法确定	设备老化导致推杆夹子断裂
产品原因（包括说明书等）	怀疑产品质量情况固定夹使用的金属材质易磨损无法长期使用
产品原因（包括说明书等）	传感器故障
产品原因（包括说明书等）	注射泵离合器排线损坏导致发生离合未必报警
产品原因（包括说明书等）	经检查为注射泵限位器故障
产品原因（包括说明书等）	工程师现场维修判定该设备注射泵夹子损坏导致药物无法完成推进
产品原因（包括说明书等）	2022年7月21日使用注射泵为患者注射药物发现注射泵返回键反应慢
产品原因（包括说明书等）	说明书提示系统故障1234为偶发性系统故障重新开机即可
产品原因（包括说明书等）	null
产品原因（包括说明书等）	在使用过程中拉杆开裂导致A通道无法使用
产品原因（包括说明书等）	获悉不良事件信息后根据事件描述确认该问题为注射泵离合问题设备科进行了追溯未发现明显异常对问题产生的原因进行查找并制定控制措施
无法确定	推头故障
无法确定,产品原因（包括说明书等）	原因不明无法确定
产品原因（包括说明书等）	多考虑使用期间损耗所致
产品原因（包括说明书等）	产品质量缺陷
产品原因（包括说明书等）	多考虑1该产品存在质量缺陷2操作者未按说明书对产品进行维护和保养
无法确定	事故原因无法确定
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	null
操作原因,产品原因（包括说明书等）,无法确定	未按时定期检查维护造成输液中断影响治疗
产品原因（包括说明书等）	null
产品原因（包括说明书等）	经检查是微泵推药的拉杆故障导致推注暂停
产品原因（包括说明书等）,无法确定,操作原因	注射器固定夹子损坏
无法确定	前壳拉杆轴断裂
无法确定	注射泵驱动模块异常导致实际流速大于设置流速
产品原因（包括说明书等）	经工程师现场维修判定该设备喇叭故障导致了设备未报警提示发生
产品原因（包括说明书等）	注射泵拉杆断裂
产品原因（包括说明书等）	工程师维修判定设备注射泵夹子损坏导致无法完成推药
产品原因（包括说明书等）	固定注射器的卡扣及卡座断掉脱落设备无法工作
产品原因（包括说明书等）	产品老化
产品原因（包括说明书等）	工程师到场检修发现注射条件可判断为系统误报警调试后无法解除故障
产品原因（包括说明书等）,无法确定	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	多考虑1该产品存在质量缺陷2操作者未按说明书对产品进行维护和保养
产品原因（包括说明书等）	操作规范正确出现压板断裂导致泵速不准的情况判定为产品自身原因
无法确定	无法确定
无法确定	null
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	考虑是否接触不良了
无法确定	科室在使用过程中发现注射泵下通道报警离合未闭
产品原因（包括说明书等）	电源线损坏
产品原因（包括说明书等）	拉杆器械故障
产品原因（包括说明书等）	电源故障或者开关故障
无法确定	null
产品原因（包括说明书等）	注射泵故障报警器失灵怀疑产品质量问题
无法确定	可能碰撞导致也可能尾夹塑料老化导致断裂
产品原因（包括说明书等）,无法确定	注射泵卡扣损坏考虑为个别产品内部配件质量存在问题
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	注射泵是三个月前厂家校准维护过的先用洪达注射器对设备重新校准后进行流速测试精度还是有一定的误差
无法确定	注射泵经常出现此问题原因不确定计量不准确
无法确定	设备管理部工程师接报修后到达科室检查设备分析故障原因为注射泵针管夹老化导致断裂
无法确定	null
产品原因（包括说明书等）	1产品质量不达标2推动杆塑料层选材不适当
产品原因（包括说明书等）	注射器识别板故障以及感应器需要更换
产品原因（包括说明书等）	分析主板电池亏电
无法确定,产品原因（包括说明书等）	仪器故障
无法确定	注射泵推头的夹子断了
产品原因（包括说明书等）	10月12日工作人员胡欣使用注射泵未患儿注射能量设置速度未52mlh实际输注速度1小时45ml
产品原因（包括说明书等）	null
产品原因（包括说明书等）	检查设备发现上通道2按键有时起作用有时没反应怀疑微动开关问题万用表测微动开关通断异常更换微动开关
无法确定,产品原因（包括说明书等）	设备管理部工程师接报修后到达科室对设备进行检查需更换拉杆
产品原因（包括说明书等）	注射泵故障
无法确定	null
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	null
产品原因（包括说明书等）	报警器故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	因基准压力值超出正常范围导致
产品原因（包括说明书等）	设备微型扩音器故障
产品原因（包括说明书等）	内部电路故障
产品原因（包括说明书等）	泵夹材质不良导致泵夹断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	经检查发现是针筒推杆故障
无法确定	启动后报警提示门没有关闭
产品原因（包括说明书等）	在使用过程中发现注射器夹持开关坏
产品原因（包括说明书等）	怀疑电源板烧坏所致
产品原因（包括说明书等）	微量泵故障
无法确定	null
产品原因（包括说明书等）	传感器故障
产品原因（包括说明书等）	设备速率存在误差
无法确定	产品使用年限过长外壳老化导致手柄断裂
产品原因（包括说明书等）	注射泵存在质量问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	蜂鸣器坏治疗过程中出现问题设备需要声光报警以便医务人员及时发现及时处理尤其在普通病房蜂鸣器不响医务人员不能及时发现有可能给患者造成严重伤害威高注射泵蜂鸣器不响问题出现频率较高
产品原因（包括说明书等）	尾推杆材质太薄容易断裂
操作原因	检查设备后发现注射泵通道存在残留药液导致注射通道黏连无法正常使用
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）	可能是设备系统原因具体原因待查
无法确定	null
产品原因（包括说明书等）	夹子塑料材质长期使用变脆容易断裂
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	卡子强度不足易坏
产品原因（包括说明书等）	电池线断充不了电
产品原因（包括说明书等）	传感器损坏
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	经判断为注射泵内部连线损坏无法接触导通
产品原因（包括说明书等）	注射泵屏幕故障
产品原因（包括说明书等）	夹子塑料太薄老化
产品原因（包括说明书等）	固定架弹簧断裂性故障
无法确定	null
产品原因（包括说明书等）	科室在使用时发现注射器夹断裂
产品原因（包括说明书等）	AC线打火断裂所致
产品原因（包括说明书等）	注射泵故障
产品原因（包括说明书等）	时间重置影响使用
产品原因（包括说明书等）	拆机检查发现一组排线松动
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	开机自检通过但该设备按正常操作流程安装注射器后无法设备注射器设备报注射器脱落故障
产品原因（包括说明书等）	经设备科人员检查发现设备一直报警注射器未顶紧无法消除此设备安装未满一年年前刚返厂维修现又故障产品质量与售后太差
无法确定	开机无显示电源线或电源线路故障
产品原因（包括说明书等）	产品电源线老化或设计不耐重复使用
产品原因（包括说明书等）	电池损坏
产品原因（包括说明书等）	返回按键失灵
产品原因（包括说明书等）	电机卡死
无法确定	检查发现20ML注射器剩15ML首先进行注射器校准
产品原因（包括说明书等）	按键损坏
产品原因（包括说明书等）	分析电路板故障
无法确定	电机控制系统不稳定
产品原因（包括说明书等）	微量泵夹子松动
产品原因（包括说明书等）	在使用过程中科室发现注射泵发出系统故障报给维修部维修部及时对其做了修复
无法确定	不明
产品原因（包括说明书等）,无法确定	可能为机器的自身问题导致
产品原因（包括说明书等）	产品电源部分故障
产品原因（包括说明书等）	威高的注射泵频繁出现类似的故障
产品原因（包括说明书等）	疑似产品设计缺陷
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定,产品原因（包括说明书等）	可能由于设备接触不良或其他原因
产品原因（包括说明书等）	固定支架螺丝滑丝
产品原因（包括说明书等）	null
产品原因（包括说明书等）,操作原因	null
产品原因（包括说明书等）	机器设计原因
产品原因（包括说明书等）	排线故障
产品原因（包括说明书等）	微泵机螺旋固定杆卡死在床栏上旋转动弹不了
产品原因（包括说明书等）	null
无法确定	注射泵开机后下通道报故障6压力传感器无法调0
产品原因（包括说明书等）	内部线路接触不良
产品原因（包括说明书等）	该设备2020年1月采购使用半年多报系统故障考虑产品质量问题
产品原因（包括说明书等）	内部零件掉落
产品原因（包括说明书等）	故障为电池原因
无法确定	注射泵线路板故障
产品原因（包括说明书等）	注射器已贴紧卡座感应器
产品原因（包括说明书等）	夹子断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）,无法确定	初步判断为拉杆材质脆度太高导致破裂
产品原因（包括说明书等）	蜂鸣器坏
产品原因（包括说明书等）	由于使用时间较长注射泵传感器出现故障
无法确定	设备年限增长使用频率高设备稳定性差
产品原因（包括说明书等）	电路板块故障
产品原因（包括说明书等）	有时数值不准确
无法确定	注射完药物设备未发出报警声提示经检修是喇叭故障
产品原因（包括说明书等）	设备的推拉杆比较脆弱很容易发生断裂
产品原因（包括说明书等）	疑似质量缺陷
产品原因（包括说明书等）	需重新校准
产品原因（包括说明书等）	null
无法确定	产品设计上的问题推杆部分出现多次类似的状况而无法使用
产品原因（包括说明书等）	1通道电源板接头氧化导致接触不良
产品原因（包括说明书等）	无法充电
无法确定	null
产品原因（包括说明书等）	注射器卡口按钮损坏
产品原因（包括说明书等）	注射泵注射器夹故障
无法确定	null
无法确定	机械故障
产品原因（包括说明书等）	设备报警系统故障
无法确定	null
产品原因（包括说明书等）	检查发现除固定注射器的卡扣及卡座断掉脱落外打开外壳后发现内部固定短电位器的拨叉也断裂了需更换
无法确定	工程师联系厂家
产品原因（包括说明书等）	机器故障
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	质量问题
无法确定	配件老化
操作原因	经检修发现屏幕后排线松动调查原因是发现为昨日设备清洁保养时意外摔落导致
产品原因（包括说明书等）	手柄不够坚固
操作原因	操作原因科室未进行设备的日常性能检查导致设备已出现故障未及时进行维修
产品原因（包括说明书等）	卡夹材质太软导致破裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	塑料老化一通道夹子断裂
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）	多考虑该产品存在质量缺陷
无法确定	接到这个设备时先对其进行了故障的初步判断观察到是由于外力导致使其外科压柄损坏
操作原因	维修工程师检查检查注射泵工作情况发现充电线接头处松动接触不良
无法确定	null
无法确定	注射泵内置主板故障
无法确定	事故原因无法确定
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	初步判断故障原因为注射泵系统自身故障线路连接的问题
产品原因（包括说明书等）	经检测发现注射器推动组件末端传感器挡片断裂导致
无法确定	null
产品原因（包括说明书等）	固定器材料偏软使用一段时间后出现滑扣现象
产品原因（包括说明书等）	质量问题注射完毕无报警系统故障
产品原因（包括说明书等）	null
无法确定	原因不明无法确定
产品原因（包括说明书等）	null
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	手柄周围塑料部件因老化原因断裂
产品原因（包括说明书等）	长拉杆断裂
产品原因（包括说明书等）	经工程师分析设备属于设备材质问题经比对同期购买的其他品牌的输注泵并未发现如此严重材质的老化现象目前该类设备已经影响正常使用
产品原因（包括说明书等）	null
产品原因（包括说明书等）	系统软件设置故障
产品原因（包括说明书等）	机器报错离合未闭
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定	开机后报警异常2电机推动螺杆位置传感器线路脱落
产品原因（包括说明书等）	null
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）,操作原因	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
无法确定	设备使用频繁设备老化导致的断裂
产品原因（包括说明书等）	到考虑1该产品存在质量缺陷2操作者未按说明书对产品进行维护和保养
无法确定	主板损坏
无法确定	无法确定
产品原因（包括说明书等）	注射泵捏柄断裂
无法确定,产品原因（包括说明书等）	原因不明无法确定
产品原因（包括说明书等）	系统故障
产品原因（包括说明书等）	不能正常开机
患者自身原因,操作原因	流速过快主要有以下几种情况1电路板故障如导线脱落导线错位程序故障2电机故障如减速齿轮箱故障有刷电机转向器损坏3使用因素如输注泵位置摆放过高或过低压头不紧重力因素导致药液流速加快患者体位或自身疾病因素自控追加次数频率过快
产品原因（包括说明书等）	null
产品原因（包括说明书等）	科室在使用时设备报离合未闭
产品原因（包括说明书等）	2020年11月3日患者肺癌术后为给患者补钾使用注射泵使用时发现注射泵无法充电随后立即更换注射泵联系设备处维修上报不良事件
产品原因（包括说明书等）	null
产品原因（包括说明书等）	内置电池损坏
无法确定	在准备使用过程中单道卡死
无法确定	固定注射器的立杆损坏
无法确定	经检测判断为注射泵内部导联线脱落导致注射泵异常报警
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	注射泵的卡注射器的拉杆坏拉杆直接开裂
无法确定	null
产品原因（包括说明书等）	现场检查按键不灵是微动开关坏
产品原因（包括说明书等）	发现夹座损坏
产品原因（包括说明书等）	材质不合格
产品原因（包括说明书等）	null
产品原因（包括说明书等）	科室工作人员在使用前对设备检查时候发现设备注射完后有液体未注射完通知设备科工程师到场进行检修
产品原因（包括说明书等）	设备传感器故障
无法确定	null
产品原因（包括说明书等）	正常开机正常使用中突然报警显示堵塞立即联系维修
产品原因（包括说明书等）	注射泵尾夹固定螺丝断裂致使尾夹传感器移位无法检测注射器注射泵尾夹脱落
产品原因（包括说明书等）	注射泵系统故障
产品原因（包括说明书等）	经设备科工作人员现场查看发现系电源线接触不良导致故障
无法确定	注射泵更换注射器注射泵无法准确标定速度
产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵故障
无法确定	工程师到现场后发现是零部件损坏需要更换联系厂家更换后正常
产品原因（包括说明书等）	null
产品原因（包括说明书等）	先对其进行了故障的初步判断观察到该设备只有在简易模式的情况下输出的药量是正常的经过查阅资料是注射器识别板故障以及感应器需要更换
产品原因（包括说明书等）	开机报警系统错误机器故障自检通不过
无法确定	null
产品原因（包括说明书等）	原因待查
产品原因（包括说明书等）	拉杆损坏机械故障
产品原因（包括说明书等）	仪器故障
操作原因	拆开机器后发现固定注射器的柱子断裂后内部的传感器位置移动
产品原因（包括说明书等）	工程师维修鉴定设备内部传输线损坏导致设备故障报警无法使用
产品原因（包括说明书等）	无法充电
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	注射泵系统故障
产品原因（包括说明书等）	2023年1月28日病人因心衰住院需进行注射药物治疗科室使用该注射泵注射药物时注射泵夹子断裂工作人员第一时间更换注射泵设备并通知设备维修工程师进行维修未对病人造成不良影响
产品原因（包括说明书等）	怀疑电源线问题测量电源线正常怀疑电源板有问题
产品原因（包括说明书等）	多考虑该产品存在质量缺陷
产品原因（包括说明书等）	检查发现长位丝杆外壳断裂影响丝杆走动
产品原因（包括说明书等）	螺杆老化滑丝
产品原因（包括说明书等）	科室工作人员在使用前对设备检查时候发现设备没有电通知设备科工程师到场进行检修发现设备电池损坏
产品原因（包括说明书等）,无法确定	初步判断为卡夹变形或破裂
产品原因（包括说明书等）	固定注射器的卡扣及卡座断掉脱落设备无法工作
产品原因（包括说明书等）	疑似产品质量缺陷
无法确定	null
产品原因（包括说明书等）	质量问题
产品原因（包括说明书等）,无法确定	怀疑卡子结构问题导致看似注射器后退重新校准进行检测
产品原因（包括说明书等）	设备质量问题
操作原因	用力过大按坏固定夹
产品原因（包括说明书等）	科室工作人员在使用前对设备检查时候发现设备无法开机设备科到场检修发现设备电路板连接线短路
无法确定	1注射泵接近有效期利用率高磨损严重导致功能失调减慢2科室报修过此台注射泵修后未与新机器进行速度比对未做标注3两组药用50ml同时泵入差5ml不容易被发现
产品原因（包括说明书等）	1设备时钟故障2也可能是主板电池电压不足引起
无法确定	可能设备老化或者操作不当引起断裂
无法确定	null
无法确定,操作原因	设备参数与注射器品牌不符
产品原因（包括说明书等）	此设备注速过快
无法确定	调节按键失灵
产品原因（包括说明书等）	注射泵断电停止泵入
无法确定	针筒推杆夹断了
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	设备夹子设计质量问题
无法确定	注射器杆断裂应是自身结构变脆弱所致具体原因不明未发现液体泄漏导致的腐蚀痕迹
